#{"t_start": 1748024787.785243, "env_id": "None"}
r,l,t
1.6266015,288,53.567922
0.65158534,288,53.568009
0.2010526,288,53.568022
2.3696072,288,53.568048
-0.015153464,288,53.568056
0.24253869,288,53.568064
-1.4726952,288,53.568072
-0.22699243,288,53.568079
-0.19238827,288,53.568086
0.082639374,288,53.568093
-1.3320994,288,53.568101
1.130383,288,53.568108
-0.48148596,288,53.568115
3.2112737,288,53.568122
-1.4965831,288,53.56813
-1.0431855,288,53.568137
-0.37708962,288,53.568144
-0.09593296,288,53.568151
-1.3924309,288,53.568158
-0.16386102,288,53.568165
-0.14013702,288,53.568172
-2.6195607,288,53.568179
-0.30427054,288,53.568186
-1.2755848,288,53.568193
1.8596305,288,53.5682
-1.2031282,288,53.568207
3.947369,288,53.568213
-1.2231106,288,53.56822
0.7541907,288,53.568227
-0.36402822,288,53.568233
-1.2039168,288,53.56824
2.8340752,288,53.568247
1.3434454,288,53.568254
1.0872957,288,53.568261
-1.3578655,288,53.568267
1.22227,288,53.568284
0.0068665184,288,53.56829
-1.7625841,288,53.568298
-1.3495365,288,53.568305
0.628572,288,53.568312
1.2048291,288,53.568319
-0.23021391,288,53.568326
-1.0391762,288,53.568332
-1.7545607,288,53.568339
-0.22464857,288,53.568346
-0.35696048,288,53.568353
0.6174453,288,53.56836
-0.08198194,288,53.568367
0.3155462,288,53.568373
-0.42013893,288,53.56838
0.26174682,288,53.568387
-1.0768007,288,53.568393
2.292411,288,53.5684
-0.13537739,288,53.568407
0.5391622,288,53.568413
0.5856339,288,53.56842
-0.5288758,288,53.568427
-1.210148,288,53.568434
-1.4738319,288,53.568441
2.0741208,288,53.568448
-1.7696741,288,53.568456
-1.4369837,288,53.568463
0.30514896,288,53.56847
3.25656,288,53.568477
0.35786378,288,104.657588
0.20093253,288,104.65767
-1.1227831,288,104.657684
-1.3013179,288,104.657692
0.9084788,288,104.657701
-1.1788352,288,104.657708
-0.057973817,288,104.657716
-0.9272641,288,104.657723
-1.1848456,288,104.65773
0.5461735,288,104.657737
-0.4696719,288,104.657744
1.3004031,288,104.657752
0.4540946,288,104.657759
-1.2261341,288,104.657767
1.6216875,288,104.657773
3.085657,288,104.657781
-0.15829018,288,104.657788
0.5606692,288,104.657795
0.3188368,288,104.657802
0.9951835,288,104.657825
1.8304032,288,104.657832
0.21095687,288,104.65784
0.4091548,288,104.657847
-0.3075353,288,104.657854
0.40700155,288,104.657861
-0.72713643,288,104.657869
1.02358,288,104.657876
-0.38716966,288,104.657883
-0.956212,288,104.657891
-0.37572813,288,104.657898
-0.688945,288,104.657905
2.6038928,288,104.657912
-0.76193005,288,104.65792
0.07920678,288,104.657929
-1.9521068,288,104.657938
2.2535203,288,104.657945
0.8874062,288,104.657953
0.46266294,288,104.657959
0.97631186,288,104.657967
0.06836408,288,104.657974
-0.7817484,288,104.657982
2.069549,288,104.65799
-0.23942828,288,104.657997
-1.4666183,288,104.658005
