#{"t_start": 1747998569.5414147, "env_id": "None"}
r,l,t
1.7056805,288,54.054585
-0.25914797,288,54.054647
0.04888294,288,54.054663
-0.114393756,288,54.054689
0.73481643,288,54.054697
0.22526729,288,54.054705
0.5124874,288,54.054713
-0.39454827,288,54.05472
-0.9289288,288,54.054727
0.38013598,288,54.054735
-0.3426107,288,54.054742
-0.48074937,288,54.05475
0.18056042,288,54.054757
0.73560864,288,54.054765
0.7085879,288,54.054772
-0.17600559,288,54.054779
-0.48353577,288,54.054786
3.980598,288,54.054794
2.4147682,288,54.054801
-0.34051496,288,54.054809
-1.0505558,288,54.054816
0.40916446,288,54.054824
1.4951465,288,54.054831
0.09147042,288,54.054838
-0.4347293,288,54.054846
2.0159774,288,54.054853
0.16159852,288,54.05486
1.1451168,288,54.054868
0.35178542,288,54.054875
-0.09043518,288,54.054882
0.2990201,288,54.054889
3.774847,288,54.054897
-0.4730611,288,54.054904
1.0477023,288,54.054911
0.16208178,288,54.054919
0.8331643,288,54.054926
-0.94448876,288,54.054933
0.8682894,288,54.054941
0.0086422935,288,54.054948
-0.58584166,288,54.054955
-0.43047455,288,54.054962
-0.2035465,288,54.054969
0.35101885,288,54.054976
0.64461666,288,54.054984
0.114416316,288,54.054991
1.3954346,288,54.054998
0.61399764,288,54.055005
0.5403472,288,54.055012
2.4778361,288,54.055019
1.5835465,288,54.055026
3.407346,288,54.055033
0.06254202,288,54.055041
-0.5672777,288,54.055048
1.0460083,288,54.055055
0.7050001,288,54.055063
1.1766219,288,54.05507
0.5199153,288,54.055077
-0.45122737,288,54.055084
0.68948436,288,54.055092
0.5776002,288,54.055104
1.3173211,288,54.055113
1.9108002,288,54.05512
0.5135951,288,54.055127
-0.24980241,288,54.055134
0.7806639,288,104.600167
0.49029142,288,104.600251
-0.0052412706,288,104.600266
0.3922087,288,104.600275
0.15999196,288,104.600283
-0.21053733,288,104.600291
0.65119046,288,104.600299
-0.1805294,288,104.600307
-0.4026416,288,104.600314
-0.24140917,288,104.600322
1.5480933,288,104.600329
1.4326944,288,104.600337
-0.5350791,288,104.600344
4.379708,288,104.600351
1.9067543,288,104.600358
4.1119347,288,104.600368
-0.4860589,288,104.600377
1.1046773,288,104.600385
0.119611494,288,104.600392
-0.25947797,288,104.600401
1.4546242,288,104.600409
0.2847096,288,104.600416
0.37768024,288,104.600424
0.37585413,288,104.600431
-0.9966752,288,104.600439
-0.6522501,288,104.600446
1.2214694,288,104.600454
3.0366104,288,104.600461
0.38843977,288,104.600469
1.6904191,288,104.600476
-0.20084101,288,104.600484
0.96446466,288,104.600491
-0.43485776,288,104.600499
-0.5024851,288,104.600506
1.6297808,288,104.600514
1.236538,288,104.600522
-0.93697774,288,104.600529
1.9455111,288,104.600537
0.13647191,288,104.600544
3.3322449,288,104.600551
2.964704,288,104.600559
1.0396259,288,104.600566
0.66668,288,104.600573
0.2983985,288,104.600581
0.99759364,288,104.600588
-0.6265192,288,104.600595
0.8965825,288,104.600602
-0.29194954,288,104.60061
-0.43528432,288,104.600617
0.5258572,288,104.600625
1.0184951,288,104.600632
0.7326937,288,104.60064
1.6703106,288,104.600647
-0.03042472,288,104.600654
-0.21483734,288,104.600662
1.2263032,288,104.600669
0.6958082,288,104.600677
-0.4389659,288,104.600685
0.80857307,288,104.600693
0.6514556,288,104.6007
-0.0018715546,288,104.600707
-0.4125063,288,104.600715
1.3910581,288,104.600722
1.3281789,288,104.600729
4.1997895,288,155.45368
0.5006553,288,155.453753
-0.932476,288,155.453767
1.9493134,288,155.453777
-0.95663226,288,155.453785
1.6910962,288,155.453793
1.0149359,288,155.453801
0.23509079,288,155.453809
1.5304636,288,155.453819
0.27068314,288,155.453826
0.64927334,288,155.453835
1.144039,288,155.453843
1.202031,288,155.453851
2.8092976,288,155.453859
0.3997714,288,155.453866
-0.043525383,288,155.453874
1.9570929,288,155.453882
0.22973098,288,155.453891
1.7757497,288,155.453899
0.9644718,288,155.453906
-0.106942415,288,155.453914
0.7247106,288,155.453922
2.8318033,288,155.453929
0.08180553,288,155.453937
0.62318015,288,155.453945
2.8892658,288,155.453952
1.1575589,288,155.453975
1.353242,288,155.453983
1.5308281,288,155.453989
1.0281361,288,155.453996
-0.33587986,288,155.454003
0.80634797,288,155.45401
0.19155455,288,155.454017
-0.50270146,288,155.454024
3.2085555,288,155.454031
-0.12796897,288,155.454038
1.8616202,288,155.454045
3.7022712,288,155.454054
-0.09041873,288,155.454061
0.22415516,288,155.454068
1.8707718,288,155.454074
2.8779526,288,155.454082
1.3863127,288,155.454089
2.4706774,288,155.454096
1.8626217,288,155.45411
2.7213898,288,155.454117
0.05982034,288,155.454124
-0.9729206,288,155.454131
1.8216046,288,155.454138
-0.5286683,288,155.454144
-0.5796705,288,155.454151
3.1898317,288,155.454159
1.3539696,288,155.454166
-0.05509022,288,155.454173
-1.0406908,288,155.454179
1.0816259,288,155.454186
0.33156934,288,155.454193
0.3586284,288,155.4542
1.7431914,288,155.454206
-0.7676703,288,155.454213
1.3127732,288,155.45422
0.103687204,288,155.454227
1.7911282,288,155.454235
2.8730063,288,155.454242
1.5287503,288,205.694269
1.660898,288,205.694348
1.7758528,288,205.69436
2.7570884,288,205.694386
3.644626,288,205.694395
2.1170835,288,205.694402
1.7440926,288,205.69441
3.4074893,288,205.694418
-0.3747593,288,205.694425
2.07644,288,205.694435
3.1466348,288,205.694443
0.95014036,288,205.694451
1.1506693,288,205.694458
5.997438,288,205.694466
1.2086438,288,205.694474
2.1218405,288,205.694481
2.1340406,288,205.694488
2.485194,288,205.694496
3.3328757,288,205.694504
1.1853026,288,205.694512
1.4813566,288,205.694519
1.9719673,288,205.694526
1.3957849,288,205.694534
2.288161,288,205.694541
3.320361,288,205.694548
2.5281603,288,205.694555
1.2987342,288,205.694563
0.27583176,288,205.69457
2.3265617,288,205.694577
2.3416352,288,205.694585
1.6807052,288,205.694592
1.4624511,288,205.694599
2.2490792,288,205.694606
1.4687753,288,205.694613
3.532613,288,205.694621
1.0631661,288,205.694628
1.2731094,288,205.694635
0.45992926,288,205.694643
3.2651567,288,205.69465
1.4319849,288,205.694657
0.9689219,288,205.694664
4.0894365,288,205.694671
3.1172464,288,205.694678
1.491086,288,205.694685
1.3015616,288,205.694693
1.5802555,288,205.6947
0.90769863,288,205.694707
1.9586868,288,205.694714
1.537404,288,205.694721
2.4806411,288,205.694728
3.2718735,288,205.694736
-0.046723958,288,205.694743
1.9309517,288,205.69475
3.486868,288,205.694757
1.0757598,288,205.694765
0.9299002,288,205.694772
1.5034789,288,205.694779
2.350677,288,205.694786
2.1314743,288,205.694793
0.7732115,288,205.6948
0.035510473,288,205.694807
1.6652421,288,205.694815
0.5149621,288,205.694823
2.4829943,288,205.69483
1.7136787,288,256.277568
1.8050084,288,256.277627
1.3411465,288,256.27764
0.12846024,288,256.277665
2.232431,288,256.277674
2.1854677,288,256.277682
0.057778202,288,256.27769
2.4292943,288,256.277698
-0.2080206,288,256.277706
3.325008,288,256.277714
3.3561943,288,256.277721
2.6935751,288,256.27773
0.52118486,288,256.277737
2.285697,288,256.277744
1.3341292,288,256.277751
2.6103942,288,256.277759
2.4394653,288,256.277766
2.7757227,288,256.277773
0.8129194,288,256.277781
0.8344297,288,256.277788
2.0700366,288,256.277796
2.701403,288,256.277803
0.8990782,288,256.27781
0.38573903,288,256.277818
0.76839304,288,256.277825
0.47757137,288,256.277833
1.233657,288,256.27784
1.9074467,288,256.277848
0.99527395,288,256.277855
2.218002,288,256.277862
1.6154205,288,256.277869
3.8196175,288,256.277876
0.4399985,288,256.277883
1.5383157,288,256.277891
1.1023926,288,256.277898
1.1477833,288,256.277905
1.2573727,288,256.277912
4.383844,288,256.27792
1.3201749,288,256.277928
2.377493,288,256.277935
2.5371208,288,256.277942
3.3853304,288,256.277949
2.068741,288,256.277956
1.1810116,288,256.277963
0.38193527,288,256.277971
3.4020607,288,256.277979
2.6932912,288,256.277989
2.4013965,288,256.277997
2.4626844,288,256.278005
1.5494976,288,256.278012
0.9743514,288,256.27802
0.06230309,288,256.278027
3.7630744,288,256.278035
1.2744046,288,256.278043
2.2546866,288,256.278051
2.0061524,288,256.278059
2.0479062,288,256.278077
3.9990144,288,256.278085
3.195961,288,256.278092
1.8447642,288,256.278106
3.0409632,288,256.278115
0.9166762,288,256.278121
0.2819063,288,256.278128
3.035924,288,256.278135
3.616879,288,306.838672
2.0310996,288,306.838736
1.0794724,288,306.83875
2.7235339,288,306.838775
3.0959923,288,306.838784
1.4223568,288,306.838792
2.4409492,288,306.838799
0.14506516,288,306.838807
1.1815575,288,306.838819
3.6802666,288,306.838828
0.96014637,288,306.838836
2.6632624,288,306.838847
-0.07415715,288,306.838855
0.4672597,288,306.838862
3.146338,288,306.838871
1.9493858,288,306.838878
1.9071614,288,306.838886
1.3406583,288,306.838894
1.4771019,288,306.838902
2.0202274,288,306.838909
2.6287503,288,306.838917
1.7373769,288,306.838924
2.2571893,288,306.838932
1.4738476,288,306.838939
4.947953,288,306.838947
1.2719454,288,306.838954
4.0585785,288,306.838962
3.877834,288,306.83897
2.3291633,288,306.838977
1.2221886,288,306.838985
1.5152673,288,306.838993
2.991985,288,306.839
3.1827533,288,306.839008
0.37322232,288,306.839015
2.7962315,288,306.839023
1.9521813,288,306.839031
2.0151708,288,306.839038
2.4252315,288,306.839045
1.4547372,288,306.839053
2.098712,288,306.839061
2.51,288,306.839068
0.23221391,288,306.839075
0.55323374,288,306.839083
0.52080876,288,306.83909
0.65090173,288,306.839098
1.0022863,288,306.839113
4.599821,288,306.83912
2.307165,288,306.839128
0.43111363,288,306.839135
1.0267973,288,306.839143
2.686711,288,306.83915
3.7712631,288,306.839158
2.154399,288,306.839166
0.8687966,288,306.839174
0.43996772,288,306.839181
2.8849065,288,306.839189
3.8945274,288,306.839197
2.6234949,288,306.839204
3.131989,288,306.839211
3.7982843,288,306.839218
3.1537929,288,306.839226
2.8120627,288,306.839233
1.1897776,288,306.839241
2.8160195,288,306.839248
1.9308205,288,357.339847
2.2238266,288,357.339925
1.6376209,288,357.339937
1.7794908,288,357.339962
1.5954788,288,357.33997
5.736573,288,357.339978
2.179905,288,357.339985
2.62257,288,357.339993
2.3469212,288,357.34
3.1677482,288,357.340008
2.2411249,288,357.340015
2.489887,288,357.340023
2.8522344,288,357.34003
2.5181623,288,357.340038
0.8753263,288,357.340045
1.8859744,288,357.340053
3.170385,288,357.34006
1.5066682,288,357.340067
1.2508014,288,357.340075
4.0529885,288,357.340082
3.057237,288,357.34009
1.9548814,288,357.340097
1.1114571,288,357.340112
2.890591,288,357.340119
2.176976,288,357.340126
2.8153749,288,357.340133
1.1883532,288,357.340141
2.945989,288,357.340148
1.5401212,288,357.340155
1.8113854,288,357.340162
3.366709,288,357.340169
1.3402703,288,357.340176
2.903922,288,357.340183
3.7066112,288,357.340191
3.4838994,288,357.340198
1.7921724,288,357.340205
1.6016484,288,357.340212
1.6014665,288,357.340219
3.7396805,288,357.340226
3.036325,288,357.340234
1.2468572,288,357.340241
0.9332729,288,357.340248
3.230108,288,357.340255
0.58146846,288,357.340263
3.4861073,288,357.34027
2.4381857,288,357.340277
2.3033123,288,357.340285
2.918125,288,357.340292
1.2463906,288,357.3403
0.96169853,288,357.340307
1.0420142,288,357.340314
1.9140735,288,357.340322
0.31358424,288,357.340329
3.471272,288,357.340338
3.9719763,288,357.340346
2.7505531,288,357.340353
2.943483,288,357.340361
2.0259624,288,357.340368
1.3169857,288,357.340376
3.9137454,288,357.340383
1.046157,288,357.340391
1.6732172,288,357.340398
1.4631658,288,357.340405
4.5021696,288,357.340413
2.1838706,288,407.561969
1.8018029,288,407.562019
2.6723886,288,407.562032
1.1543266,288,407.56204
2.310825,288,407.562065
2.078969,288,407.562073
1.9047451,288,407.56208
2.3029215,288,407.562087
1.290104,288,407.562098
1.4932041,288,407.562114
2.398047,288,407.562123
1.9211779,288,407.56213
4.46953,288,407.562138
2.4254494,288,407.562147
2.3273196,288,407.562155
2.3970573,288,407.562163
1.6247252,288,407.562171
2.109031,288,407.562179
2.126905,288,407.562186
2.1550434,288,407.562194
1.6832365,288,407.562201
1.6864253,288,407.562208
1.8858029,288,407.562215
1.9679726,288,407.562223
1.364505,288,407.562242
3.991391,288,407.562249
0.524911,288,407.562256
3.030843,288,407.562263
2.5197842,288,407.562269
0.3342992,288,407.562276
0.53590333,288,407.562283
1.6901094,288,407.562289
4.011772,288,407.562296
2.2853446,288,407.562303
1.142751,288,407.562309
4.601185,288,407.562316
4.229462,288,407.562322
2.8594723,288,407.562329
1.6239066,288,407.562336
3.2592654,288,407.562342
3.2586727,288,407.562349
3.5983965,288,407.562355
1.3636235,288,407.562362
3.090014,288,407.562368
1.4511263,288,407.562375
2.225543,288,407.562382
0.8351937,288,407.562388
1.6871315,288,407.562395
2.5332844,288,407.562402
1.3309633,288,407.562408
1.0495888,288,407.562415
2.1603599,288,407.562421
4.0145693,288,407.562428
0.74964553,288,407.562434
2.4139042,288,407.562441
1.7251151,288,407.562448
2.925248,288,407.562454
3.347918,288,407.562461
1.2835652,288,407.562467
