#{"t_start": 1747919664.0663974, "env_id": "None"}
r,l,t
0.35722417,288,100.717385
1.6946113,288,100.717477
2.090286,288,100.717491
1.1364636,288,100.717517
3.69259,288,100.717525
3.158476,288,100.717533
1.4035223,288,100.71754
2.604112,288,100.717548
1.404652,288,100.717556
2.93468,288,100.717563
2.2739277,288,100.71757
1.5677325,288,100.717577
1.187517,288,100.717585
0.501591,288,100.717592
2.3541956,288,100.7176
1.8017361,288,100.717607
0.98211014,288,100.717615
2.8927715,288,100.717623
0.2889018,288,100.71763
1.851458,288,100.717637
1.9396849,288,100.717645
0.404385,288,100.717653
0.122893885,288,100.71766
0.7197757,288,100.717667
1.5631285,288,100.717674
1.7896215,288,100.717682
0.7661937,288,100.717689
0.2388571,288,100.717696
1.621936,288,100.717704
1.7997916,288,100.717711
1.6613882,288,100.717718
1.3454648,288,100.717726
1.3489051,288,100.717733
1.9844263,288,100.717741
3.153716,288,100.717747
2.0930495,288,100.717755
0.5103271,288,100.717762
1.1120764,288,100.71777
1.6077851,288,100.717778
3.088138,288,100.717785
1.8058004,288,100.717793
0.55256647,288,100.7178
3.7334614,288,100.717808
2.307756,288,100.717815
1.3912582,288,100.717823
1.2912995,288,100.71783
2.3920372,288,100.717838
1.1942903,288,100.717845
1.4058812,288,100.717853
2.505353,288,100.71786
2.222896,288,100.717868
0.8760214,288,100.717875
1.451859,288,100.717883
0.29721963,288,100.717891
2.9393024,288,100.717898
3.5590622,288,100.717906
0.6256236,288,100.717913
2.3136954,288,100.717921
1.6919074,288,100.717929
2.5238073,288,100.717936
2.1509137,288,100.717944
0.8612523,288,100.717951
3.3255038,288,100.717959
0.6146229,288,100.717967
1.878353,288,100.717974
2.7027385,288,100.717981
1.99102,288,100.717989
2.3994017,288,100.717996
1.0683538,288,100.718004
1.487567,288,100.718012
1.3380919,288,100.718019
0.8924004,288,100.718027
2.0166755,288,100.718035
2.0988333,288,100.718042
1.0765977,288,100.71805
3.0798085,288,100.718057
1.8583915,288,100.718065
1.7512401,288,100.718072
1.8948863,288,100.71808
0.9058987,288,100.718087
1.3630501,288,100.718094
2.3111258,288,100.718102
1.3517174,288,100.718109
1.4728922,288,100.718124
1.3784449,288,100.718133
1.1514618,288,100.718156
1.0135541,288,100.718164
0.88252985,288,100.718171
1.6218323,288,100.718179
5.1837845,288,100.718187
0.6971951,288,100.718194
1.1430048,288,100.718202
1.324699,288,100.71821
1.9367733,288,100.718217
2.5577424,288,100.718225
0.18867227,288,100.718232
1.5792862,288,100.71824
2.2625637,288,100.718247
1.5830362,288,100.718254
1.5974846,288,100.718262
1.602618,288,100.718269
1.2259271,288,100.718277
2.9428225,288,100.718284
2.2614403,288,100.718292
0.7825929,288,100.718299
2.0155606,288,100.718306
2.6040797,288,100.718313
2.0704439,288,100.718321
2.0710979,288,100.718329
1.9373262,288,100.718336
1.3649366,288,100.718344
2.33476,288,100.718351
1.0525277,288,100.718358
1.8958381,288,100.718366
2.7282875,288,100.718373
2.2773933,288,100.71838
2.2986329,288,100.718388
0.63884217,288,100.718395
2.0508437,288,100.718403
1.675707,288,100.71841
1.5649079,288,100.718417
2.1361783,288,100.718425
0.6560587,288,100.718432
1.932214,288,100.718439
0.46022454,288,100.718446
1.8624052,288,100.718454
1.1722009,288,100.718462
1.0381428,288,100.718469
2.4495482,288,195.745103
1.4966908,288,195.745174
0.32910842,288,195.745188
1.3937838,288,195.745215
0.7950306,288,195.745223
0.66227007,288,195.745231
3.054515,288,195.745239
1.850466,288,195.745247
1.180216,288,195.745255
1.4988906,288,195.745263
3.8744051,288,195.74527
2.101105,288,195.745278
2.5538788,288,195.745285
2.7606409,288,195.745293
2.1898618,288,195.745301
1.5321984,288,195.745308
1.333894,288,195.745316
0.19050331,288,195.745324
1.5060736,288,195.745332
1.496199,288,195.745339
1.5152639,288,195.745347
1.3519087,288,195.745354
1.4138545,288,195.745362
0.6917933,288,195.745369
3.6246574,288,195.745377
1.6494217,288,195.745384
2.316863,288,195.745391
1.8758954,288,195.745399
-0.007885408,288,195.745406
1.2974885,288,195.745429
3.6353025,288,195.745437
2.4592328,288,195.745444
3.170138,288,195.74545
0.44537878,288,195.745457
1.6367633,288,195.745464
1.6127375,288,195.745471
0.55528027,288,195.745477
1.0672861,288,195.745484
1.2436842,288,195.745491
0.41539237,288,195.745497
2.038607,288,195.745503
1.2096802,288,195.74551
1.0218015,288,195.745517
2.1832914,288,195.745523
1.2608314,288,195.74553
1.8777277,288,195.745537
3.3736136,288,195.745543
1.3881516,288,195.74555
0.9130435,288,195.745556
2.1277351,288,195.745563
2.2099981,288,195.745569
1.3119383,288,195.745576
2.3378923,288,195.745583
1.3948427,288,195.745589
1.8529391,288,195.745596
0.2691582,288,195.745602
1.7401816,288,195.745609
1.5882952,288,195.745616
1.6603574,288,195.745623
3.1522295,288,195.745629
1.2849636,288,195.745635
0.8013025,288,195.745642
1.8048086,288,195.745648
2.1100562,288,195.745655
2.674294,288,195.745662
2.5167162,288,195.745669
1.8314044,288,195.745675
3.0285702,288,195.745682
3.1631017,288,195.745689
3.7517643,288,195.745696
1.7815207,288,195.745703
2.4507163,288,195.74571
2.138656,288,195.745716
1.7306923,288,195.745723
1.8276138,288,195.74573
1.824412,288,195.745736
2.0203283,288,195.745743
3.3986325,288,195.74575
3.176743,288,195.745757
1.5185671,288,195.745764
1.4433149,288,195.745771
2.3814662,288,195.745778
