#{"t_start": 1747930012.9276688, "env_id": "None"}
r,l,t
0.93389845,288,204.284495
1.6402189,288,204.284573
0.18721248,288,204.284631
-0.30060613,288,204.284644
0.5441559,288,204.284652
0.9242183,288,204.28466
-0.13181914,288,204.284668
1.444609,288,204.284675
0.14278197,288,204.284683
2.8617885,288,204.28469
-1.539727,288,204.284697
0.13075973,288,204.284704
0.89935714,288,204.284712
-2.1358182,288,204.28472
1.7805234,288,204.284727
-1.400863,288,204.284734
-1.3266134,288,204.28474
1.9253981,288,204.284747
-0.008861538,288,204.284755
0.28092226,288,204.284763
-0.5956732,288,204.28477
1.9729605,288,204.284777
-0.49864057,288,204.284783
-0.21427721,288,204.284791
-0.32212391,288,204.284799
0.95728415,288,204.284806
-1.5768173,288,204.284813
-0.5777195,288,204.284819
-0.92174554,288,204.284826
-0.19942132,288,204.284833
1.0906823,288,204.28484
0.6926051,288,204.284854
-1.3803507,288,204.284862
0.22272088,288,204.284869
-0.86518306,288,204.284878
0.28130442,288,204.284886
-1.1063905,288,204.284893
0.032515977,288,204.2849
1.8327924,288,204.284907
-0.8423539,288,204.284914
1.2540846,288,204.284921
0.24717642,288,204.284928
-0.030382372,288,204.284935
1.1907501,288,204.284942
1.1797951,288,204.284949
-0.6065607,288,204.284956
-0.7487461,288,204.284962
0.8512955,288,204.28497
0.85731006,288,204.284977
-0.44593737,288,204.284984
-0.39856875,288,204.284992
0.4951119,288,204.284999
-1.255309,288,204.285006
-1.0004228,288,204.285013
-0.5896636,288,204.28502
-0.035089,288,204.285027
-0.25856537,288,204.285034
-1.3763431,288,204.285043
-0.030018477,288,204.285051
0.73669434,288,204.285058
5.6533394,288,204.285065
0.77248514,288,204.285072
0.39113152,288,204.285079
0.23093937,288,204.285085
0.2598618,288,204.285092
2.8916576,288,204.285099
0.22801371,288,204.285106
-0.01736486,288,204.285113
0.3609041,288,204.285119
0.7760742,288,204.285127
0.1631843,288,204.285134
0.9282724,288,204.285141
-1.1730765,288,204.285148
1.424405,288,204.285155
0.5223137,288,204.285161
-0.6786367,288,204.285168
-0.5728993,288,204.285174
0.8514974,288,204.285182
1.725102,288,204.285189
0.35088578,288,204.285196
-0.13927558,288,204.285203
0.34614047,288,204.285212
-1.3813782,288,204.285219
0.26449928,288,204.285226
0.74077,288,204.285233
-0.4644136,288,204.28524
-0.9793791,288,204.285247
-1.0148197,288,204.285253
1.5212132,288,204.28526
1.047595,288,204.285267
0.28030163,288,204.285274
0.7390309,288,204.28528
0.6705442,288,204.285287
0.28359464,288,204.285295
1.0157253,288,204.285302
3.2166464,288,204.285309
1.1177741,288,204.285316
1.7744043,288,204.285324
2.3465052,288,204.285331
0.8970771,288,204.285339
0.032242134,288,204.285345
1.0885563,288,204.285352
-1.517069,288,204.285359
-0.43494865,288,204.285365
3.1659932,288,204.285372
0.90836114,288,204.285379
-0.6411277,288,204.285386
0.6259718,288,204.285393
0.012511937,288,204.285399
1.0277524,288,204.285406
-0.47580793,288,204.285413
0.53068644,288,204.28542
-0.58820164,288,204.285426
-0.31772095,288,204.285434
0.051712118,288,204.285441
1.641109,288,204.285448
0.66330457,288,204.285455
0.8767817,288,204.285462
1.8827596,288,204.28547
-0.3725675,288,204.285477
0.8182739,288,204.285485
-0.33900264,288,204.285491
-0.32515442,288,204.285498
-1.0317415,288,204.285505
3.3170562,288,204.285512
0.19896215,288,204.285535
0.68574667,288,204.285542
1.7791595,288,204.28555
-0.19309703,288,204.285557
-1.2036117,288,204.285564
-1.214157,288,204.285572
-1.4946599,288,204.285579
1.5873195,288,204.285586
0.07855748,288,204.285594
1.9169629,288,204.285601
1.9427214,288,204.285609
2.5514529,288,204.285617
-0.21983048,288,204.285624
-1.0848736,288,204.285631
2.0934234,288,204.285638
3.3282151,288,204.285645
-0.38073373,288,204.285652
0.3782662,288,204.285659
-0.6271282,288,204.285666
-0.8233208,288,204.285673
2.0622838,288,204.285681
-1.1984334,288,204.285689
1.4122105,288,204.285696
2.7609575,288,204.285703
-0.41549528,288,204.285711
-0.08671211,288,204.285718
0.44999862,288,204.285725
-0.017343277,288,204.285745
0.13022992,288,204.285753
0.34758052,288,204.28576
-0.6450263,288,204.285767
-0.8915626,288,204.285773
