#{"t_start": 1747986995.100196, "env_id": "None"}
r,l,t
-0.007039563,288,53.027952
-0.62554663,288,53.028042
0.04894643,288,53.028054
-0.66931593,288,53.028062
-0.5388418,288,53.028069
2.2620313,288,53.028075
-1.0872972,288,53.028082
-0.779138,288,53.028089
1.7388629,288,53.028095
0.12526503,288,53.028101
1.0878376,288,53.028107
-0.006127163,288,53.028114
3.6833942,288,53.028121
0.96746314,288,53.028127
0.90118355,288,53.028133
1.210438,288,53.02814
-0.37532076,288,53.028146
-1.2062591,288,53.028153
-0.03446492,288,53.028159
-0.8025513,288,53.028165
-0.09814516,288,53.028172
-1.3644682,288,53.028178
1.0461166,288,53.028184
0.073228896,288,53.028191
0.5307275,288,53.028197
0.27168953,288,53.028203
0.4238221,288,53.028209
0.059098225,288,53.028215
-0.56744933,288,53.028222
-0.8976845,288,53.028228
0.014939316,288,53.028235
0.99048305,288,53.028241
1.3637493,288,53.028247
-0.68396336,288,53.028254
1.164733,288,53.02826
2.085254,288,53.028266
-0.78161716,288,53.028272
-1.0897846,288,53.028279
1.3446819,288,53.028286
1.0393285,288,53.028292
0.55281174,288,53.028298
2.059313,288,53.028304
0.92162675,288,53.028311
0.46026236,288,53.028317
0.9295062,288,53.028332
-0.9015295,288,53.028338
-0.32594818,288,53.028345
-0.3321339,288,53.028351
0.080433905,288,53.028357
0.58711755,288,53.028364
0.5870111,288,53.02837
-0.72670615,288,53.028376
-0.20392208,288,53.028383
0.22528355,288,53.028389
0.015268303,288,53.028395
1.4219421,288,53.028402
1.2291876,288,53.028408
-0.8059392,288,53.028415
2.7689238,288,53.028421
0.17653406,288,53.028427
-0.8028976,288,53.028433
-0.30155432,288,53.028439
-0.13974467,288,53.028445
-0.19331737,288,53.028452
-1.201854,288,102.14654
-1.7605712,288,102.146616
-2.3123758,288,102.146627
-1.2523819,288,102.146635
-2.2349768,288,102.146642
-0.812682,288,102.146648
-0.45337752,288,102.146655
-1.4873704,288,102.146662
-0.11757858,288,102.146669
1.4424547,288,102.146676
0.37116367,288,102.146685
1.815389,288,102.146692
-1.6903316,288,102.146698
-0.5687084,288,102.146706
-1.1954962,288,102.146712
-0.26015502,288,102.146719
-0.8127015,288,102.146725
-0.9811356,288,102.146732
0.6994297,288,102.146739
0.5133321,288,102.146745
-0.9913673,288,102.146751
0.4439124,288,102.146759
-0.16519845,288,102.146765
-1.455683,288,102.146771
-1.2361922,288,102.146778
-0.57537425,288,102.146784
0.3176431,288,102.146791
-1.3105356,288,102.146797
0.5037826,288,102.146804
-1.4901448,288,102.14681
-1.8624915,288,102.146817
-1.1723218,288,102.146823
-0.72559077,288,102.14683
-1.8157884,288,102.146837
-1.531629,288,102.146844
-1.0269301,288,102.14685
-1.1368754,288,102.146856
-0.82620597,288,102.146863
0.050604694,288,102.14687
-0.25892934,288,102.146877
-2.323921,288,102.146883
-0.7484798,288,102.14689
-1.4693786,288,102.146896
0.13306437,288,102.146903
-0.01264358,288,102.14691
2.3096442,288,102.146917
0.13307332,288,102.146923
-0.5241071,288,102.14693
-0.66640675,288,102.146936
-0.70904326,288,102.146942
-0.77786297,288,102.146949
-1.3352584,288,102.146955
-0.78542155,288,102.146962
-0.54283905,288,102.146968
0.5283646,288,102.146974
-1.0666914,288,102.146981
0.8644889,288,102.146987
1.0112543,288,102.146994
0.76236343,288,102.147
-1.161559,288,102.147007
0.6215095,288,102.147013
1.2464106,288,102.14702
1.4954396,288,102.147026
-2.100244,288,102.147032
0.24613118,288,151.19334
-0.12152624,288,151.193441
-0.13804182,288,151.193453
1.0268865,288,151.193461
2.3975008,288,151.193469
-2.176315,288,151.193476
-0.5648637,288,151.193483
0.38162914,288,151.19349
-1.0461266,288,151.193496
-2.0222406,288,151.193503
-1.4931153,288,151.19351
0.74107575,288,151.193516
0.16911505,288,151.193523
2.4792306,288,151.19353
-0.44394922,288,151.193537
1.1031817,288,151.193544
2.4222054,288,151.19355
0.7264761,288,151.193557
-1.2393944,288,151.193563
0.027682867,288,151.19357
-0.5291704,288,151.193577
0.81240594,288,151.193583
2.5226297,288,151.193589
1.2966388,288,151.193596
-0.10120381,288,151.193603
2.0973194,288,151.193609
1.4597671,288,151.193627
1.1242199,288,151.193634
-0.48155326,288,151.193639
2.0315428,288,151.193645
-0.18732528,288,151.193652
-1.0416706,288,151.193658
1.3019803,288,151.193664
-0.05267705,288,151.193669
2.2802894,288,151.193676
0.6271554,288,151.193682
0.012397542,288,151.193687
-0.08173592,288,151.193693
0.5501701,288,151.193698
0.9819055,288,151.193704
1.7211002,288,151.19371
-0.0023424532,288,151.193715
-0.7961475,288,151.193721
0.57521826,288,151.193727
-0.7488321,288,151.193733
-0.96717244,288,151.193738
-1.0604721,288,151.193744
-0.81423366,288,151.19375
-2.5238724,288,151.193756
1.1574378,288,151.193761
0.5251426,288,151.193768
0.11964145,288,151.193773
-1.0696623,288,151.193779
0.71077317,288,151.193784
0.037912566,288,151.19379
-0.11461166,288,151.193796
1.3484606,288,151.193801
-1.0903295,288,151.193808
0.90630865,288,151.193814
-1.2220123,288,151.19382
0.979347,288,151.193826
-0.65503037,288,151.193832
1.1814995,288,151.193838
0.010890653,288,151.193844
0.89847964,288,200.484926
-0.16463605,288,200.484995
2.246471,288,200.485008
1.0236813,288,200.485017
-1.1317606,288,200.485024
-1.1108689,288,200.48503
-0.91634893,288,200.485037
-0.25713462,288,200.485044
0.650572,288,200.485051
1.2446537,288,200.485058
0.8295025,288,200.485064
-1.7949661,288,200.48507
-2.3919506,288,200.485077
-0.6828113,288,200.485084
-0.5393382,288,200.48509
-2.2450418,288,200.485097
0.14148638,288,200.485103
1.0693684,288,200.48511
-0.59401464,288,200.485116
-0.4675201,288,200.485123
-0.8069914,288,200.485129
2.2052543,288,200.485136
-0.25632548,288,200.485142
1.098257,288,200.485149
1.1099781,288,200.485156
0.3528909,288,200.485162
0.7638882,288,200.485169
-0.47202078,288,200.485175
0.1502733,288,200.485182
0.47944036,288,200.485188
-0.721405,288,200.485195
0.5129662,288,200.485201
0.07724554,288,200.485208
-0.77988213,288,200.485214
-0.651083,288,200.48522
0.567567,288,200.485226
1.530226,288,200.485233
-0.9961388,288,200.48524
0.55665326,288,200.485246
-0.78387725,288,200.485253
0.6450809,288,200.48526
1.6397367,288,200.485266
0.30352378,288,200.485272
1.0869524,288,200.485279
-0.77140385,288,200.485285
2.7378657,288,200.485292
2.2735405,288,200.485298
0.0043737674,288,200.485305
