#{"t_start": 1747922318.6042864, "env_id": "None"}
r,l,t
1.1129519,288,160.485755
1.6453987,288,160.486089
-0.7932587,288,160.486245
-1.1930435,288,160.486359
0.77953744,288,160.48647
0.5645521,288,160.486586
0.37972656,288,160.486698
1.7273875,288,160.486821
1.8454111,288,160.486947
-0.72438455,288,160.487069
-0.7296723,288,160.487175
-1.0148906,288,160.48728
-0.29948738,288,160.487384
0.20115232,288,160.487491
1.0163136,288,160.487597
0.4970177,288,160.487701
0.765753,288,160.487829
-1.0501125,288,160.487935
-0.6805372,288,160.488041
1.9105955,288,160.488143
-0.9695584,288,160.488249
0.17305541,288,160.488353
-0.69595784,288,160.488459
-0.05650837,288,160.488595
2.2952516,288,160.488703
-0.48873973,288,160.488812
0.2879111,288,160.48893
0.6996826,288,160.489043
0.78999823,288,160.489151
0.12477219,288,160.489256
-1.1045458,288,160.489361
-0.7133606,288,160.489466
0.41873774,288,160.489578
-0.85356414,288,160.489682
0.07123881,288,160.489787
-0.31416565,288,160.489892
-0.6909738,288,160.489998
0.24902414,288,160.490105
-0.19473758,288,160.490217
2.3483453,288,160.490337
0.4844949,288,160.490441
-1.0096204,288,160.490553
-0.5782589,288,160.490657
-0.19922158,288,160.490762
-0.6653115,288,160.490868
-1.060168,288,160.49098
2.009934,288,160.491105
0.6283548,288,160.491215
0.36069146,288,160.491326
1.7819198,288,160.491431
2.4159937,288,160.491539
0.11792829,288,160.491647
-0.8529526,288,160.491752
2.455383,288,160.491856
-1.1224712,288,160.49196
1.6117809,288,160.492113
-0.268396,288,160.492225
1.1321458,288,160.492327
-1.68238,288,160.492432
1.509993,288,160.492546
-0.24744551,288,160.492656
-0.5259953,288,160.492759
-0.7668324,288,160.492865
1.0386522,288,160.492972
1.9560704,288,160.49308
2.673271,288,160.493183
-0.058510322,288,160.493288
0.17431538,288,160.493392
0.58846784,288,160.4935
-1.6939654,288,160.493606
0.97334737,288,160.493726
0.18328856,288,160.493835
0.08269207,288,160.493936
0.048931397,288,160.494046
-0.03762438,288,160.494171
-0.8377903,288,160.494276
0.54318064,288,160.494384
-0.045745973,288,160.494487
1.2621897,288,160.494592
0.5433246,288,160.494694
4.129079,288,160.494798
1.4061346,288,160.4949
0.77458155,288,160.495008
4.251672,288,160.49512
1.1824094,288,160.495225
1.5884954,288,160.495332
-0.49540314,288,160.495435
0.18806776,288,160.495542
0.72820824,288,160.495647
-0.13474515,288,160.495755
-0.4724429,288,160.495858
-0.21374093,288,160.49597
0.9134333,288,160.496075
3.4817731,288,160.496183
0.06424796,288,160.496303
0.7501831,288,160.496407
1.6827881,288,160.496515
0.75240314,288,160.496631
2.7137833,288,160.496747
-1.6345037,288,160.496848
0.5765957,288,160.496951
1.0484284,288,160.497068
-0.11405629,288,160.497177
2.2754986,288,160.497286
-1.0337667,288,160.497395
-0.584714,288,160.497519
1.3124596,288,160.49763
-0.537067,288,160.497742
-0.9144106,288,160.497847
2.0987487,288,160.497952
-1.5914104,288,160.498059
3.1552947,288,160.498163
-1.229951,288,160.498264
0.2518409,288,160.498368
-0.24706197,288,160.498473
-0.7889057,288,160.49858
1.011281,288,160.498689
0.08599774,288,160.498793
0.95126724,288,160.498925
-0.6524179,288,160.499031
-0.80270743,288,160.499134
1.3812422,288,160.49924
1.1301614,288,160.499344
-1.2291878,288,160.499447
1.5701274,288,160.499551
2.713289,288,160.499655
-1.0624208,288,160.499765
0.10169978,288,160.499879
0.86264056,288,160.499986
0.9949742,288,160.500089
-0.655235,288,160.500197
-1.2015064,288,160.500301
0.9448132,288,160.500407
-0.037352674,288,160.500521
-0.8178545,288,160.500629
1.1610935,288,160.500734
0.5873457,288,160.500857
-0.25826687,288,160.501018
0.651071,288,160.501136
-1.2618608,288,160.501243
-0.22175613,288,160.5014
0.5648612,288,160.501511
1.1827534,288,160.501618
0.040224582,288,160.501724
1.6196893,288,160.501836
-1.2082808,288,160.501959
0.42029712,288,160.502087
0.5697955,288,160.502192
-0.58278936,288,160.502302
-0.6757005,288,160.502406
2.1995206,288,160.502509
-0.273741,288,160.502619
-0.20389403,288,160.502727
-0.87950456,288,160.502859
0.9697385,288,160.502968
1.3983518,288,160.503079
0.5510649,288,160.503196
2.0780463,288,160.503308
-1.5003514,288,160.503422
0.1929237,288,160.503541
0.6772023,288,160.503653
-0.5869073,288,160.50376
2.3289027,288,160.503893
-0.5530374,288,160.504002
0.4772961,288,160.504106
0.6420056,288,160.504214
0.20612565,288,160.504323
-0.05553053,288,160.504441
0.53535527,288,160.504551
0.81289417,288,160.504658
2.0622284,288,160.504765
1.3987505,288,160.504869
-0.74911505,288,160.50498
